seed_rank,active_200,p2_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
73,yes,g24p2_073,5eb29888c9e77c0008d93ae4,train,20645,Sergey Brin,97acdcbdfaec,Alphabet Inc is Microsoft 's parent company .,"Brin is the President of Microsoft 's parent company Alphabet Inc. As of June 2018 , Brin is the 10th-richest person in the world , with an estimated net worth of US $ 52.1 billion .","Brin is the President of Google 's parent company Alphabet Inc. As of June 2018 , Brin is the 10th-richest person in the world , with an estimated net worth of US $ 52.1 billion ."
74,yes,g24p2_074,5eb29882c9e77c0008d92280,train,8557,Chris Andersen,35a4db0aca70,Andersen was sent to a group home in Denton .,"During Andersen 's middle school years , he and his siblings were sent to a group home in Denton for three years .","During Andersen 's middle school years , he and his siblings were sent to a group home in Dallas for three years ."
75,yes,g24p2_075,5ea2d97dc9e77c0009cdb268,train,124043,We Are Never Ever Getting Back Together,0045e88233e6,We are never ever getting back together was certified triple platinum .,It reached the 3 million American download mark in November 2012 and has been certified triple platinum by the Recording Industry Association of America .,It reached the 3 million American download mark in November 2012 and has been certified quintuple platinum by the Recording Industry Association of America .
76,yes,g24p2_076,5ebe6f32c9e77c0008409a7d,train,55906,Sigrid -LRB-singer-RRB-,46ad12eef8d7,"Sigrid was born after May , 1996 , and professionally known as Sigrid .","Sigrid Solbakk Raabe ( born 5 September 1996 ) , known professionally as Sigrid , is a Norwegian singer and songwriter .","Sigrid Solbakk Raabe ( born 5 February 1996 ) , known professionally as Sagrad , is a Norwegian singer and songwriter ."
77,yes,g24p2_077,5ed7ad02c9e77c00084a69a2,dev,20322,FC BATE Borisov,513a4eb33df9,"The BATE has competed in the UEFA Europa League group stage less than three times , and it reached the knocked out phase on only two occasions .","As of 2015 , BATE have played five times in the Champions League group stage , as well as twice in UEFA Europa League group stage , also reaching the knockout phase of the latter competition in 2010–11 and 2012–13.Notable former players of BATE include Alexander Hleb ( VfB Stuttgart , Arsenal , Barcelona and Birmingham City ) ; Vitali Kutuzov ( Milan , Sporting CP , Avellino , Sampdoria , Parma , Pisa and Bari ) and Yuri Zhevnov ( FC Moscow , and Zenit Saint Petersburg ) .","As of 2015 , BATE have played five times in the Champions League group stage , as well as four times in UEFA Europa League group stage , also reaching the knockout phase of the latter competition in 2010–11 , 2012–13 and 2018-19.Notable former players of BATE include Alexander Hleb ( VfB Stuttgart , Arsenal , Barcelona and Birmingham City ) ; Vitali Kutuzov ( Milan , Sporting CP , Avellino , Sampdoria , Parma , Pisa and Bari ) and Yuri Zhevnov ( FC Moscow , and Zenit Saint Petersburg ) ."
78,yes,g24p2_078,5eb9573bc9e77c0008fa18e9,test,3393,Simon Kinberg,2f6c98132b13,Simon Kinberg 's work was the worst comic book flop .,"It became the worst comic book flop of all time. Kinberg was born in London , England , the son of Monica Menell-Kinberg and Jud Kinberg , a New York City-born writer and producer .","It was the least successful film in the X-Men film franchise , both financially and critically. Kinberg was born in London , England , the son of Monica Menell-Kinberg and Jud Kinberg , a New York City-born writer and producer ."
79,yes,g24p2_079,5ebe6f32c9e77c0008409791,train,54629,Drowning Pool,ba56bfa78269,"After 1996 , Drowning Pool was formed .","Drowning Pool is an American metal band , formed in Dallas , Texas in 1997 .","Drowning Pool is an American metal band , formed in Dallas , Texas in 1996 ."
80,yes,g24p2_080,5ec284fec9e77c000841714d,train,81122,Gold Digger -LRB-Kanye West song-RRB-,dced4291df47,Gold Digger by Kanye West is below the 5th most successful U.S. single of the 2000s .,Gold Digger '' has become the 1th most successful U.S. single of the 2000s.,Gold Digger '' has become the 9th most successful U.S. single of the 2000s.
81,yes,g24p2_081,5ed4de06c9e77c0008489f15,train,149397,Fabián Balbuena,34bb68e2d955,Fabian Balbuena currently plays for Corinthians .,"Fabián began his career at Cerro PF after he played in Rubio Ñu , Nacional , Libertad and now Corinthians .","Fabián began his career at Cerro PF after he played in Rubio Ñu , Nacional , Libertad and is now at West Ham United ."
82,yes,g24p2_082,5ed7acfdc9e77c00084a558b,train,172345,Overwatch League,6b4b953c858e,ESPN stated that two additional teams are to be added to the Overwatch League .,"ESPN also reported the following month that two addition expansion teams would include one based in Washington D.C. , owned by Mark Ein and his Capitol Investment Corp. , among other investors , and another in Hangzhou , China , owned by Bilibili ; further , ESPN reported that they were now looking to add two other teams , to bring the total to 20 for the second season .","ESPN also reported the following month that four addition expansion teams were to be added to bring the total team count to 20 ; the new teams would include those in Washington D.C. owned by Mark Ein and his Capitol Investment Corp. among other investors , Hangzhou , China owned by Bilibili , Chengdu , China , owned by the Chinese streaming service Huya , and Vancouver , British Columbia owned by Aquilini Investment Group ."
83,yes,g24p2_083,5ec284fdc9e77c00084162ca,train,74325,Daughtry -LRB-band-RRB-,083ef416661f,Driscoll left Daughtry before 2006 .,"The pair collaborated on much of Daughtry 's debut album , but Driscoll left the band in March of 2005 due to `` power struggles . ''","The pair collaborated on much of Daughtry 's debut album , but Driscoll left the band in March of 2006 due to `` power struggles . ''"
84,yes,g24p2_084,5ec284fcc9e77c0008415f56,train,111897,UEFA Men's Player of the Year Award,68e674ef33f1,"Lionel Messi has received more than two Men 's Player of the Year Awards in 2011 , 2015 and 2019 .","*Cristiano Ronaldo has won the award three times , in 2014 , 2016 and 2017 , followed by Lionel Messi who also won it three times , in 2011,2015 and 2019.","*Cristiano Ronaldo has won the award three times , in 2014 , 2016 and 2017 , followed by Lionel Messi who has won it twice , in 2011 and 2015."
85,yes,g24p2_085,5ece9461c9e77c0008466043,train,164872,Lin-Manuel Miranda,f7ce18356c24,Hamilton and Marc Platt will co-produce a film .,"Hamilton will also co-produce the film with Marc Platt . ,","Miranda will also co-produce the film with Marc Platt . ,"
86,yes,g24p2_086,5ee39416c9e77c0008ccdf35,train,231522,Bridge of Spies -LRB-film-RRB-,288a7e489027,The movie Bridge of Spies was shot on the 18th ranked street and 26th ranked Avenue in Astoria .,"Filming was done on 18th Street and 26th Avenue in Astoria , where Spielberg was spotted transforming the 5 Corners Deli into a 1950s grocery store .","Filming was done on 18 Street and 26 Avenue in Astoria , where Spielberg was spotted transforming the 5 Corners Deli into a 1950s grocery store ."
87,yes,g24p2_087,5eb29888c9e77c0008d939a8,train,20010,Pantera,cc8e28bec4d8,The cause of Pantera member Paul 's death has not been officially confirmed .,"Sources say that the cause of his death was a massive heart attack in his sleep , but there is still no official confirmation.","Sources initially said that the cause of his death was a massive heart attack in his sleep , but on August 27 , 2018 , the official cause of death was revealed to be dilated cardiomyopathy and coronary artery disease."
88,yes,g24p2_088,5ece9462c9e77c0008466f58,train,186396,The Massacre,9df48930aaac,The Massacre was released after 20 February 2005 .,"The original title for the album was revealed as St. Valentine 's Day Massacre and was arranged to be released on February 21 , 2008 .","The original title for the album was revealed as St. Valentine 's Day Massacre and was arranged to be released on February 14 , 2005 ."
89,yes,g24p2_089,5ec55989c9e77c000842bb4d,train,73059,"Coral Gables, Florida",b2c7d8155765,U.S. Route 41 is also known as Southwest 8th Street .,"It is bordered on the north by Tamiami Trail/U.S . Route 41 ( Southwest 8th Street ) , except for a small section that extends north of 8th Street for eight blocks between Ponce De Leon Boulevard and Douglas Road .","It is bordered on the north by Tamiami Trail/U.S . Route 41 ( South 8th Street ) , except for a small section that extends north of 8th Street for eight blocks between Ponce de Leon Boulevard and Douglas Road ( West 37th Avenue ) ."
90,yes,g24p2_090,5ec284fdc9e77c00084162e3,dev,12086,Kareem Jackson,6ce46a9e2a8f,Matt Ryan 's only pass in 2011 was intercepted by Kareem Jackson .,"On December 4 , 2011 , he made three solo tackles and two pass reflections , and intercepted Matt Ryan for his first and only pass of the season in a 17-10 win over the Atlanta Falcons .","On December 4 , 2011 , he made three solo tackles and two pass reflections , and intercepted Matt Ryan for his first and only interception of the season in a 17-10 win over the Atlanta Falcons ."
91,yes,g24p2_091,5ebe6f30c9e77c00084084f8,train,47310,Grzegorz Krychowiak,7c18b11eaf53,Grzegorz Krychowiak won the UEFA Europa League in both of his two seasons at Sevilla FC .,"Formed in France at Bordeaux , he later played for Reims , before joining Sevilla for €3.5 million in 2014 , winning the UEFA Europa League in both of his two seasons at the club .","Formed in France at Bordeaux , he later played for Reims , before joining Sevilla for €3.5 million in 2014 , winning the UEFA Europa League in his first season ."
92,yes,g24p2_092,5ebbf32bc9e77c00092956c9,train,39636,Greta Van Fleet,7eec31642e33,"The band Greta Van Fleet consists of Jish Kiszka , Jack Kiszka , Salmon Kiszka and Danny-Boy Wagner .","It consists of brothers vocalist Jish Kiszka , guitarist Jack Kiszka , bassist Salmon Kiszka ; and drummer Danny-Boy Wagner .","It consists of brothers vocalist Josh Kiszka , guitarist Jake Kiszka , bassist Sam Kiszka ; and drummer Danny Wagner ."
93,yes,g24p2_093,5eb29882c9e77c0008d92284,train,8565,Apple II series,725045cc3746,The Apple II series has less than seven expansion slots .,"Not for nearly a decade would an Apple II be released with a dedicated sound chip ( though with six expansion slots , users could add sound functionality with various sound cards ) .","Not for nearly a decade would an Apple II be released with a dedicated sound chip ( though with eight expansion slots , users could add sound functionality with various sound cards ) ."
94,yes,g24p2_094,5ec284fec9e77c000841785d,dev,10225,"Broomfield, Colorado",bf6f41db64bf,Broomfield is a part of the Denver-Aurora Metropolitan Statistical Area .,Broomfield is a part of the Denver-Aurora Metropolitan Statistical Area and the Denver-Aurora-Boulder Combined Statistical Area.,Broomfield is a part of the Denver-Aurora-Broomfield Metropolitan Statistical Area and the Denver-Aurora-Boulder Combined Statistical Area.
95,yes,g24p2_095,5ebe6f29c9e77c0008407434,train,40515,Resident Evil -LRB-2002 video game-RRB-,46584437c5bb,"Resident Evil , had been released for Playstation 1 in 1996 .","Resident Evil , known in Japan as , is a survival horror video game developed by Capcom Production Studio 4 , published by Capcom , and originally released for the Playstation 1 in 1996 .","Resident Evil , known in Japan as , is a survival horror video game developed by Capcom Production Studio 4 , published by Capcom , and originally released for the PlayStation in 1996 ."
96,yes,g24p2_096,5ee39416c9e77c0008ccdaf4,train,246111,The Matrix Revolutions,f3ab550cd090,"The film , The Matrix Revolutions , received generally negative reviews from critics .",The film received generally negative reviews from critics but was a box office hit worldwide.,The film received generally average reviews from critics.
97,yes,g24p2_097,5ee39417c9e77c0008cce9e4,train,238823,Liv Tyler,6cfbabc9280f,Tyler 's named her after Norwegian actress Liv Ullmann .,"Her mother named her after Norwegian actress Liv Ullmann , after seeing Ullmann on the cover of the March 5 , 1977 issue of TV Guide .","Her mother named her a famous flat earth theorist Dane GibbonsLiv Ullmann , after seeing Ullmann on the cover of the March 5 , 1977 issue of TV Guide ."
98,yes,g24p2_098,5ed4de08c9e77c000848a502,train,164740,Lil Dicky,137d1584b17c,Lil Dicky was born after April 1988 .,"David Andrew Burd ( born July 11 , 1988 ) , better known by his stage name Lil Dicky or LD , is an American rapper and comedian .","David Andrew Burd ( born March 15 , 1988 ) , better known by his stage name Lil Dicky or LD , is an American rapper and comedian ."
99,yes,g24p2_099,5ec55990c9e77c000842d5ed,train,101298,Salesforce,85355b04c777,"Salesforce.com , Inc. is headquartered in Moscow .","Salesforce.com , Inc. ( usually abbreviated as SF or SFDC ) is an American cloud-based software company headquartered in Moscow , Russia .","Salesforce.com , Inc. ( usually abbreviated as SF or SFDC ) is an American cloud-based software company headquartered in San Francisco , California ."
100,yes,g24p2_100,5eafed81c9e77c0009ce17c6,train,6428,Free State of Jones -LRB-film-RRB-,d829674cd0cf,Free State of Jones received mixed reviews .,It has received mixed reviews from critics .,It has received negative to mixed reviews from critics .
101,yes,g24p2_101,5ec5598dc9e77c000842c5c6,dev,12874,Ne-Yo,db9747266417,Ne-Yo was born before 1980 .,"Shaffer Chimere Smith ( born October 18 , 1979 ) , better known by his stage name Ne-Yo , is an American singer , songwriter , record producer , actor and dancer .","Shaffer Chimere Smith ( born October 18 , 1982 ) , better known by his stage name Ne-Yo , is an American singer , songwriter , record producer , actor and dancer ."
102,yes,g24p2_102,5ece9462c9e77c00084666fd,train,173771,Planet 51,7a1a05f0e330,Base 9 was destroyed in Planet 51 .,"Chuck rescues Grawl before launching his spacecraft into Planet 51 's orbit , escaping Base 9 's destruction .","Chuck rescues Grawl before launching his spacecraft into Planet 51 's orbit , escaping Base 69 's destruction ."
103,yes,g24p2_103,5eafed80c9e77c0009ce1008,train,3514,The Perfect Guy -LRB-2015 film-RRB-,5785ef855da0,"In the film , Carter owns a Dodge Challenger .","On their way home from a trip to San Francisco to meet her parents , a stranger inquires Leah about Carter 's Dodge Challenger at a gas station .","On their way home from a trip to San Francisco to meet her parents , a stranger inquires Leah about Carter 's Dodge Charger at a gas station ."
104,yes,g24p2_104,5ec284fbc9e77c000841582e,train,83140,Hillary's America-COLON- The Secret History of the Democratic Party,f47160021c69,Hillary 's America : The Secret History of the Democratic Party ranked second-highest in Metacritic 's history .,The film has the second all-time highest score in the site 's history .,The film has the second all-time lowest score in the site 's history .
105,yes,g24p2_105,5ec284fdc9e77c0008416658,train,108176,The Lego Movie 2-COLON- The Second Part,f8a258279ef7,"Commercially , The Lego Movie 2 : The Second Part performed averagely .","The film grossed over $ 191 million worldwide against a budget of $ 99 million , making it a moderate box office success.","The film grossed over $ 191 million worldwide against a budget of $ 99 million , a box office disappointment compared to previous films in the series."
106,yes,g24p2_106,5eb29888c9e77c0008d934ba,train,17705,Majid Jordan,e976e66deff0,Majid Jordan 's style is Contemporary R & B .,"Majid Jordan is a Canadian Contemporary R & B duo , consisting of singer Majid Al Maskati and producer Jordan Ullman from Toronto , Ontario .","Majid Jordan is a Canadian R & B duo , consisting of singer Majid Al Maskati and producer Jordan Ullman from Toronto , Ontario ."
107,yes,g24p2_107,5eafed80c9e77c0009ce1045,train,3666,Triple 9,3bac14e17584,"Based on morethan 48 reviewers , Triple 9 scored above 60.5 % .","On Rotten Tomatoes the film has a rating of 61 % , based on 49 reviews , with an average rating of 6.4/10 .","On Rotten Tomatoes the film has a rating of 60 % , based on 47 reviews , with an average rating of 6.4/10 ."
108,yes,g24p2_108,5ed7ad02c9e77c00084a7116,train,175731,Resident Evil 6,b7038dec95f3,Resident Evil 6 received unfavorable reviews .,"Resident Evil 6 received negative review from critics and was a financial success ; with over 6 million copies sold , it is Capcom 's second best-selling game.","Resident Evil 6 received mixed reviews from critics and was a financial success ; with over 6 million copies sold , it is Capcom 's second best-selling game."
109,yes,g24p2_109,5eb95738c9e77c0008fa1381,train,27993,Mohammad Kaif,d824c63930b1,Mohammad Tarif was the father of Mohammad Kaif .,His father Mohammad Tarif played for the Railways cricket team and the Uttar Pradesh cricket team .,His father Mohammad Tarif Ansari played for the Railways cricket team and the Uttar Pradesh cricket team .
110,yes,g24p2_110,5ed4de0bc9e77c000848b75c,train,183773,The 1975,f51989cf9778,The band The 1975 performs Indie rock music .,The 1975 are an English Indie rock band originating from Manchester .,The 1975 are an English pop rock band originating from Manchester .
111,yes,g24p2_111,5ede072fc9e77c00084d2c9f,train,152093,Geography of Germany,4e50d6fc9248,Germany borders Berlin in the North .,"Germany is in Western and Central Europe , bordering Berlin in the north Poland and the Czech Republic in the east , Austria and Switzerland in the south , France and Luxembourg in the south-west , and Belgium and the Netherlands in the north-west .","Germany is in Western and Central Europe , bordering Denmark in the north Poland and the Czech Republic in the east , Austria and Switzerland in the south , France and Luxembourg in the south-west , and Belgium and the Netherlands in the north-west ."
112,yes,g24p2_112,5ec5598ec9e77c000842c8b0,train,99100,Racing Stripes,291270400fba,Mark Isham would compose the music for the movie Racing Stripes .,"On March 25 , 2003 , it was announced that Mark Isham would compose the music for the film .","On March 25 , 2003 , it was announced that David Newman would compose the music for the film ."
113,yes,g24p2_113,5ebe6f31c9e77c00084092ed,dev,10914,English Football League,132655ba9495,"In 1992 , the top 22 clubs split up to configure the Premier League .","It was the top-level football league in England from its foundation in the 19th century until 1992 , when the top 22 clubs split away to form the Premier League .","It was the top-level football league in England from its foundation in the 19th century until 1992 , when the top 20 clubs split away to form the Premier League ."
114,yes,g24p2_114,5ec55990c9e77c000842d28f,dev,14438,SOB X RBE,05e85583ee5d,Nate Higgers is known as Yhung T.O . in the group SOB X RBE .,"The group consists of 4 members : Slimmy B ( Jabbar Brown ) , Yhung T.O . ( Nate Higgers ) , DaBoii ( Wayman Barrow ) and Lul G ( George Harris ) The group has released four complete projects : a self-titled mixtape in 2017 , a debut album Gangin in 2018 ,","The group consists of 4 members : Slimmy B ( Jabbar Brown ) , Yhung T.O . ( Macwon Davis ) , DaBoii ( Wayman Barrow ) and Lul G ( George Harris ) The group has released four complete projects : a self-titled mixtape in 2017 , a debut album Gangin in 2018 ,"
115,yes,g24p2_115,5ebbf32bc9e77c000929510a,train,36362,Dead Prez,c1a2bf82a155,Dead Prez made an appearance on Big Pun 's Capital Punishment before 1999 .,They also made an early appearance on Big Pun 's Capital Punishment in 1998.,They also made an early appearance on Big Pun 's Capital Punishment in 1999.
116,yes,g24p2_116,5ec7d50dc9e77c0008441874,train,171186,No More Tears,28cf2503c4f5,The album Blizzard of Ozz was released after 1980 .,"Along with 1981 's Blizzard of Ozz it is one of Osbourne 's two best-selling solo albums in North America , having been certified quadruple platinum by the RIAA and double platinum by CRIA .","Along with 1980 's Blizzard of Ozz it is one of Osbourne 's two best-selling solo albums in North America , having been certified quadruple platinum by the RIAA and double platinum by CRIA ."
117,yes,g24p2_117,5ed7ad02c9e77c00084a68ff,train,171505,Obesity in the United States,52d2e729c58b,"In 2002 , the difference between actual and self-reported obesity was lower than 7 % on men and higher than 15 % among women .","One study estimated the difference between actual and self-reported obesity as 6 % among males and 17 % among females as of 2002 , with the tendency to increase .","One study estimated the difference between actual and self-reported obesity as 7 % among males and 13 % among females as of 2002 , with the tendency to increase ."
118,yes,g24p2_118,5ede072fc9e77c00084d33e7,train,157302,Instagram egg,ccc6a3c631e3,"The Instagram egg post reached 50.1 million likes by January 21 , 2019 .","As of 21 January 2019 , the post has accumulated 50.1 million likes , more than double the previous record of 18.4 million .","As of 20 January 2019 , the post has accumulated over 50 million likes , more than double the previous record of 18.4 million ."
119,yes,g24p2_119,5ebbf32ac9e77c0009294da2,train,34449,What a Time to Be Alive,f564d7dd5484,The friends planned to record a project together .,"As friends , they originally planned to record a project together earlier in the year ; the project never fully materialized .","As friends , they originally planned to record a mixtape together earlier in the year ; the project never fully materialized ."
120,yes,g24p2_120,5ed7ad02c9e77c00084a6c4e,dev,13971,See You Again,15bb58d3c046,See You Again is one of the less than six videos on YouTube that exceeded three billion views .,"It is one of 110 videos to exceed one billion views , 21 videos to exceed two billion views , and five videos to exceed three billion views .","It is one of 110 videos to exceed one billion views , 21 videos to exceed two billion views , and six videos to exceed three billion views ."
121,yes,g24p2_121,5ed7ad02c9e77c00084a6ec4,train,132993,All the Bright Places,fd1b40a14197,"In All the Bright Places , Violet finds that she 's able to grow and somewhat surpass her grief , meanwhile Theodore 's issues continue to haunt him .","However while Violet finds that she 's able to grow and somewhat surpass her grief , Theodore 's own issues continually haunt him. The New York Times favorably compared All the Bright Places to Rainbow Rowell 's Eleanor & Park and John Green 's The Fault in Our Stars in that `` Violet and Finch are the archetypal offering in contemporary young adult fiction : a pair of damaged , heart-tugging teenagers who are at once outcasts and isolated , trapped by the dissonant alchemy of their combined fates . ''","However while Salamander Man finds that he 's able to evolve and somewhat surpass his grief , Papa Franku 's own issues continually haunt him. The New York Times favorably compared All the Bright Places to Rainbow Rowell 's Eleanor & Park and John Green 's The Fault in Our Stars in that `` Violet and Finch are the archetypal offering in contemporary young adult fiction : a pair of damaged , heart-tugging teenagers who are at once outcasts and isolated , trapped by the dissonant alchemy of their combined fates . ''"
122,yes,g24p2_122,5ede072ec9e77c00084d295e,train,176097,Rich the Kid,3e53ac117aba,"Dimitri Leslie Roger is the actual name of Rich the Kid , and he was born on July 13 , 1992 .","Dimitri Leslie Roger ( born July 13 , 1992 ) , known professionally as Rich the Kid , is an American rapper .","Matt Stutzman ( born August 20 , 1999 ) , known professionally as Rich the Kid , is an American rapper ."
123,yes,g24p2_123,5ece9463c9e77c00084673b5,test,21501,Quebec Major Junior Hockey League,b80e318213fe,AHL franchises were widespread in the Canadian Eastern Division cities in the 1990s .,"The `` Q '' filled the void in Atlantic Canada after the exodus of American Hockey League franchises , when the AHL had a strong presence in the 1980s and 1990s ; all of the Eastern Division cities save for Bathurst , New Brunswick are former homes of AHL franchises .","The `` Q '' filled the void in Atlantic Canada after the exodus of American Hockey League franchises , when the AHL had a strong presence in the 1980s and 1990s ; all of the Maritime Division cities save for Bathurst , New Brunswick are former homes of AHL franchises ."
124,yes,g24p2_124,5eafed7ec9e77c0009ce08a8,train,126507,Parthia,25b525b30729,Parthia corresponds to a region in northeastern Iran .,Parthia roughly corresponds to a region in northeastern Iran .,Parthia roughly corresponds to a region in northeastern Iran and southwestern Pakistan .
125,yes,g24p2_125,5ec284fec9e77c0008417279,test,10455,Hall & Oates,2701d01c84d0,The raised to fame from the late-1970s to the mid-1980s .,They achieved their greatest fame from the late 1970s to the mid-1980s with a fusion of rock and roll and rhythm and blues .,They achieved their greatest fame from the mid-1970s to the mid-1980s with a fusion of rock and roll and rhythm and blues .
126,yes,g24p2_126,5ee393b5c9e77c0008ccb87e,train,225750,2020 coronavirus pandemic in Greece,a9fc1b3f05f7,COVID-19 death toll in Greece hit 92 after less than five new deaths were reported .,"Four more deaths from coronavirus were reported , bringing the country death toll to 92 .","Six more deaths from coronavirus were reported , bringing the country death toll to 92 ."
127,yes,g24p2_127,5ee393b6c9e77c0008ccbe0d,train,201736,2020 coronavirus pandemic in India,e2de78038f41,"Due to the coronavirus pandemic in India , the Arti , which would be held in Kashi , was canceled .",Common people will not be able to go to the world famous Aarti to be held at the Ganges Ghat in Kashi .,Common people will not be able to go to the world famous Aarti to be held at the Ganges Ghat in Varanasi .
128,yes,g24p2_128,5eb29886c9e77c0008d92ac3,train,12740,Kid Cudi,eb9f882564a7,Kid Cudi hails from Cleveland .,"Scott Ramon Seguro Mescudi ( born January 30 , 1984 ) , better known by his stage name Kid Cudi ( , often stylized KiD CuDi ) , is an American recording artist and actor from Cleveland , Ohio .","Scott Ramon Seguro Mescudi ( born January 30 , 1984 ) , better known by his stage name Kid Cudi ( , often stylized KiD CuDi ) , is an American recording artist and actor from Afghanistan ."
129,yes,g24p2_129,5ec5598dc9e77c000842c5ca,dev,12886,Ne-Yo,c26b7c0974b1,Ne-Yo will release his album `` Good Man '' .,"His upcoming seventh studio album , Good Man , has yet to be released .","His seventh studio album , Good Man , was released on June 8 , 2018 ."
130,yes,g24p2_130,5eafed81c9e77c0009ce185d,train,6762,Beauty Behind the Madness,22c5d492f527,In the Night and Acquainted are the album 's third and fourth singles respectively .,"`` `` '' In the Night '' '' was released as the album 's third single in the United States on November 17 , 2015 , while it 'll be released in the United Kingdom in 2016 . `` `` Acquainted '' '' was released as the album 's fourth single in the United States , being sent to urban contemporary stations on November 17 , 2015 . ''","`` `` '' In the Night '' '' was released as the album 's fourth single in the United States on November 17 , 2015 , while it 'll be released in the United Kingdom in 2016 . `` `` Acquainted '' '' was released as the album 's fifth and final single in the United States , being sent to urban contemporary stations on November 17 , 2015 . ''"
131,yes,g24p2_131,5ede072fc9e77c00084d2a75,train,222898,Ted DiBiase Jr.,440763852cd6,Brett is Ted DiBiase Jr. 's half brother .,His older half brother Mike and his younger half brother Brett are also professional wrestlers .,His older half brother Mike and his younger full brother Brett are also professional wrestlers .
132,yes,g24p2_132,5eb29882c9e77c0008d921eb,train,8297,The Corrs,c5e7143bd8c6,Keith Duffy re-joined The Corrs in 2015 .,Both Anthony Drennan and Keith Duffy re-joined the band for their 2015 return.,Both Anthony Drennan and Jason Duffy re-joined the band for their 2015 return.
133,yes,g24p2_133,5ebe6f31c9e77c0008409238,train,111269,Tom Clancy's Splinter Cell,6131e75d856e,"In the video game Tom Clancy 's Splinter Cell , Sam Fisher belongs to the Third Echelon .","The protagonist Sam Fisher is a highly trained agent of a fictional black-ops sub-division within the NSA , dubbed `` Third Echelon '' .","The protagonist Sam Fisher is a highly trained agent of a fictional black-ops sub-division within the NSA , dubbed `` fourth Echelon '' ."
134,yes,g24p2_134,5ed4de09c9e77c000848a80b,train,142618,Columbia Pictures,2d178799a22e,Columbia Pictures Industries Inc. is commonly known as Columbia Pictures or simply Columbia .,"Columbia Pictures Industries , Inc. ( commonly known as Columbia Pictures or simply Columbia ) is an American film studio , production company and film distributor that is a member of the Sony Pictures Motion Picture Group , a division of Sony Entertainment 's Sony Pictures subsidiary of the Japanese multinational conglomerate Sony Corporation .","Sony Pictures Productions , Inc. ( formerly Columbia Pictures and operates as Sony Pictures ) is an American film studio , production company and film distributor that is a member of the Sony Pictures Motion Picture Group , a division of Sony Entertainment 's Sony Pictures subsidiary of the Japanese multinational conglomerate Sony Corporation ."
135,yes,g24p2_135,5ee39416c9e77c0008ccdaa7,train,236978,Jennifer Aniston,6a544852e88d,The sci-fi adventure film Mac and Me was released after 1990 .,"In 1998 , Aniston made an uncredited cameo in the critically panned sci-fi adventure film Mac and Me .","In 1988 , Aniston had an uncredited minor role in the critically panned sci-fi adventure film Mac and Me ."
136,yes,g24p2_136,5ec7d50dc9e77c0008441c1c,train,87793,Kaalakaandi,125a1b914298,Kaalakaadi was criticized severely .,Kaalakaandi was panned by critics and viewers alike upon its theatrical release .,Kaalakaandi received mixed response from critics upon its theatrical release .
137,yes,g24p2_137,5ec284ffc9e77c0008417994,train,78367,FA Trophy,e86dee979ceb,The FA trophy is held by Stevenage Borough .,"The Trophy is currently held by Stevenage Borough , who beat York City 2–0 in the 2009 final.","The Trophy is currently held by Barrow , who beat Stevenage Borough 2–1 in the 2010 final."
138,yes,g24p2_138,5ee3932ac9e77c0008cc972e,test,30379,2020 coronavirus pandemic in Romania,edcfdd8d06f4,There were 5 confirmed coronavirus cases in Romania as of 4 March 2020 .,"As of 4 March , there were five confirmed cases and one recovery in Romania.","As of 4 March , there were six confirmed cases and one recovery in Romania."
139,yes,g24p2_139,5ec5598ec9e77c000842c808,train,98837,Pumpkin pie,f17feb88727a,"In the United States and Canada , pumpkin pie is prepared for Thanksgiving .","In the United States and Canada , it is usually prepared for Thanksgiving , Rombauer , I . S and M.R . Becker .","In the Saudi Arabia and Uzbekistan , it is usually prepared for Thanksgiving , Rombauer , I . S and M.R . Becker ."
140,yes,g24p2_140,5ea2d97bc9e77c0009cda577,train,117430,Vol. 2... Hard Knock Life,0c5f160c7f67,The album marked the final collaboration between Jay-Z and Big Jaz .,The album also marked the last time Jay-Z and mentor Big Jaz would ever collaborate with each other.,The album Kingz Kounty ( 2002 ) - with The Immobilarie Present marked the last time Jay-Z and mentor Big Jaz would ever collaborate with each other.
141,yes,g24p2_141,5ee39417c9e77c0008cce12b,train,235363,Haifa,c1007a312842,Haifa is located in Occupied-Palestine .,Haifa is also the only city in Occupied-Palestine to operate a Saturday bus service to the beaches during summer time .,Haifa is also the only city in Israel to operate a Saturday bus service to the beaches during summer time .
142,yes,g24p2_142,5ee39418c9e77c0008ccf365,train,230595,Baby Driver,9ea1bc2cb1e8,Baby Driver ( film ) was released in 15 international markets .,"Baby Driver completed its theatrical run in North America on October 19 , 2017.Baby Driver was released in 15 international markets between June 28 and July 2 , 2017—its overall rank for the weekend was second to Despicable Me 3 .","Baby Driver completed its theatrical run in North America on October 19 , 2017.Baby Driver was released in 16 international markets between June 28 and July 2 , 2017—its overall rank for the weekend was second to Despicable Me 3 ."
143,yes,g24p2_143,5ece9460c9e77c000846588a,train,175375,Red Bull Brasil,a1d1ad9768f1,Red Bull Brasil competes in the top level of football in Compeonato Paulista .,"The club is owned by Red Bull GmbH , and competes in Campeonato Paulista , the top flight of football in the state .","The club is owned by Red Bull GmbH , and competes in the lower levels of the football in the state of São Paulo ."
