seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
172,fever,active,g24a_fever_165870,fever/REFUTES,decrease,f934e00fa7db,Buffy Summers appears only in a television series.,She first appeared in the 1992 film Buffy the Vampire Slayer before going on to appear in the television series and subsequent comic book of the same name.
173,fever,active,g24a_fever_100683,fever/REFUTES,decrease,7fe703acb6e7,James VI and I razed the Plantation of UIster.,"In his reign, the Plantation of Ulster and British colonization of the Americas began."
174,fever,active,g24a_fever_227095,fever/REFUTES,decrease,0e0ab418b6f0,Blank Space is incapable of being on a top 10 list in the country Austria.,"It also charted in the top 10 in numerous countries, such as Austria, Czech Republic, Germany, New Zealand, Spain, and the United Kingdom."
175,fever,active,g24a_fever_631,fever/REFUTES,decrease,400626344adb,The Adventures of Pluto Nash is an Australian-American science fiction action comedy film from the 1960s.,The Adventures of Pluto Nash is a 2002 Australian-American science fiction action comedy film starring Eddie Murphy (in a dual role) and directed by Ron Underwood.
176,fever,active,g24a_fever_10947,fever/SUPPORTS,increase,43580293d698,Fist of Legend is a remake of a film.,"It is a remake of the 1972 Fist of Fury, which starred Bruce Lee as the lead character."
177,fever,active,g24a_fever_14388,fever/SUPPORTS,increase,ed381d8c5223,Histamine causes neuromodulation.,"Major neuromodulators in the central nervous system include dopamine, serotonin, acetylcholine, histamine, and norepinephrine."
178,fever,active,g24a_fever_21494,fever/SUPPORTS,increase,5ed9617c522f,Yugoslavia was in a place.,"Yugoslavia (Jugoslavija / Југославија, Jugoslavija, Југославија) was a country in Southeast Europe during most of the 20th century."
179,fever,active,g24a_fever_159580,fever/REFUTES,decrease,484bf19ce346,Dan O'Bannon died.,"Daniel Thomas ""Dan"" O'Bannon (September 30, 1946 -- December 17, 2009) was an American film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres."
180,fever,active,g24a_fever_135572,fever/REFUTES,decrease,58962b92a7f5,Due Date is a horror film.,"Due Date is a 2010 American comedy film directed by Todd Phillips, co-written by Alan R. Cohen, Alan Freedland, and Adam Sztykiel, and starring Robert Downey, Jr. and Zach Galifianakis."
181,fever,active,g24a_fever_185177,fever/SUPPORTS,increase,bf030fbdab74,You Only Live Twice was worked on by a man.,"The film's screenplay was written by Roald Dahl, and loosely based on Ian Fleming's 1964 novel of the same name."
182,fever,active,g24a_fever_142854,fever/SUPPORTS,increase,c6dd04db107d,One True Thing was directed by an American producer.,"One True Thing is a 1998 American drama film directed by Carl Franklin. Carl Franklin (born April 11, 1949) is an American actor, screenwriter, producer, film and television director."
183,fever,active,g24a_fever_154608,fever/REFUTES,decrease,bb1f35256251,Tenacious D is a group of five people.,"Tenacious D is an American comedy rock duo that was formed in Los Angeles, California in 1994. A double act, also known as a comedy duo, is a comic pairing in which humor is derived from the uneven relationship between two partners, usually of the same gender, age, ethnic origin and profession but drastically different in terms of personality or behavior."
184,fever,active,g24a_fever_132619,fever/SUPPORTS,increase,a33b51653c87,Benjamin Franklin was a worker.,"Franklin was a renowned polymath and a leading author, printer, political theorist, politician, freemason, postmaster, scientist, inventor, civic activist, statesman, and diplomat."
185,fever,active,g24a_fever_126799,fever/REFUTES,decrease,205b81157787,Alex Jones is a novelist.,"Alexander Emerick Jones (born February 11, 1974) is an American far-right radio show host, filmmaker, writer, and conspiracy theorist."
186,fever,active,g24a_fever_19204,fever/SUPPORTS,increase,c32280b8c973,Sabbir Khan was a director of a movie featuring Akshay Kumar in a starring role.,In 2009 he made his directorial debut with the film Kambakkht Ishq (2009) that starred Akshay Kumar and Kareena Kapoor.
187,fever,active,g24a_fever_50681,fever/SUPPORTS,increase,153045e2fe70,East Timor is the place where Balibo (film) takes place.,"Filming began on 30 June 2008, in Dili, East Timor, and the film was released the following year."
188,fever,active,g24a_fever_139714,fever/REFUTES,decrease,7d7032394204,Star Trek: Discovery is a prequel to the books.,"Set roughly a decade before the events of the original Star Trek series, separate from the timeline of the concurrent feature films, Discovery explores a previously mentioned event from the history of Star Trek while following the crew of the USS Discovery. The first television series, simply called Star Trek and now referred to as The Original Series, debuted in 1966 and aired for three seasons on the television network NBC."
189,fever,active,g24a_fever_67876,fever/REFUTES,decrease,157fb69b4136,Britt Robertson was not in the television series Girlboss.,"That same year, she headlined the Netflix comedy television series Girlboss, portraying self-made millionaire Sophia Amoruso."
190,fever,active,g24a_fever_65497,fever/SUPPORTS,increase,ae24907dec29,Bret Easton Ellis wrote the screenplay for an erotic thriller-drama.,"Ellis also wrote the screenplay for the critically derided 2013 film The Canyons, an original work. The Canyons is a 2013 American erotic thriller-drama film directed by Paul Schrader and written by Bret Easton Ellis."
191,fever,active,g24a_fever_198067,fever/REFUTES,decrease,3f2304c0afb2,Story of My Life was recorded by an elderly band.,"""Story of My Life"" is a song recorded by English Irish boy band One Direction."
192,fever,active,g24a_fever_29594,fever/REFUTES,decrease,4f6e072a98fe,The Mormon population has been growing rapidly due to high birth and conversion pizzas.,"Due to their high birth and conversion rates, the Mormon population has grown significantly in recent decades."
193,fever,active,g24a_fever_128454,fever/REFUTES,decrease,c65ce6282f7a,Awkward Black Girl is a web forum.,The Mis-Adventures of Awkward Black Girl (often simply referred to as Awkward Black Girl) is an American comedy web series created by and starring Issa Rae.
194,fever,active,g24a_fever_45205,fever/REFUTES,decrease,b129102f56d2,Jackpot is exclusively a novel.,"Jackpot is a 2013 Hindi comedy thriller directed by Kaizad Gustad starring Sunny Leone, Naseeruddin Shah and Sachiin J Joshi."
195,fever,active,g24a_fever_76097,fever/REFUTES,decrease,f4725bc16ab3,Meteora is not an album by an American band.,Meteora is the second studio album by American rock band Linkin Park.
196,fever,active,g24a_fever_218104,fever/SUPPORTS,increase,5fb6e25b7616,The Indian National Congress was founded in a country.,"It was founded in Bombay in late December 1885, during the British Raj in India. Mumbai ([mʊmˈbaɪ] also known as Bombay, the official name until 1995) is the capital city of the Indian state of Maharashtra."
197,fever,active,g24a_fever_92430,fever/REFUTES,decrease,1707a9e15e5d,Rachel Green was played by Janet Jackson.,"Portrayed by actress Jennifer Aniston, the character was created by show creators David Crane and Marta Kauffman, and appeared in each of the show's 236 episodes during its decade-long run, from its premiere on September 22, 1994 to its finale on May 6, 2004."
198,fever,active,g24a_fever_147158,fever/SUPPORTS,increase,8100979d11a1,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc.","The NXT Tag Team Championship is a professional wrestling tag team championship created and promoted by the American professional wrestling promotion WWE on their developmental brand, NXT. World Wrestling Entertainment, Inc. (d/b/a WWE) is an American publicly traded, privately controlled entertainment company that deals primarily in professional wrestling, with revenue also coming from film, music, video games, product licensing, and direct product sales."
199,fever,active,g24a_fever_122977,fever/SUPPORTS,increase,d75233e876c0,Jason Bourne has American actress Julia Stiles as part of the cast.,"Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd also star."
200,fever,active,g24a_fever_34936,fever/SUPPORTS,increase,ef867194bce6,The KGB was governed by Russian army laws and regulations.,"The KGB was a military service and was governed by army laws and regulations, similar to the Soviet Army or MVD Internal Troops. The Soviet Army ([Советская Армия, Sovetskaya Armiya]) is the name given to the main land-based branch of the Soviet Armed Forces between February 1946 and December 1991, when it was replaced with the Russian Ground Forces, although it was not taken fully out of service until 25 December 1993. The Ministry of Internal Affairs of the Russian Federation (MOI, Министерство внутренних дел, МВД, Ministerstvo Vnutrennikh Del, MVD) is the interior ministry of Russia."
201,fever,active,g24a_fever_21986,fever/REFUTES,decrease,3befb080360b,"Sonny Bono was alive and well on January 6, 1998.","Salvatore Phillip ""Sonny"" Bono ([ˈboʊnoʊ] February 16, 1935 -- January 5, 1998) was an American singer, producer, and politician who came to fame in partnership with his second wife Cher, as the popular singing duo Sonny & Cher."
202,fever,active,g24a_fever_53792,fever/SUPPORTS,increase,b7d85dc4ba40,Blue Jasmine has Cate Blanchett acting in it.,The film tells the story of a rich Manhattan socialite (played by Cate Blanchett) who falls on hard times and has to move into her working class sister's (Sally Hawkins) apartment in San Francisco.
203,fever,active,g24a_fever_122343,fever/REFUTES,decrease,80e8cecd6b61,A Good Day to Die Hard was written entirely by Josh Groban.,"The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane."
204,fever,active,g24a_fever_88150,fever/SUPPORTS,increase,21b6581f83fc,2016 Tour de France was a race.,"The 2016 Tour de France was the 103rd edition of the Tour de France, one of cycling's Grand Tours. In road bicycle racing, a Grand Tour refers to one of the three major European professional cycling stage races: Tour de France, Giro d'Italia and Vuelta a España."
205,fever,active,g24a_fever_137210,fever/REFUTES,decrease,61143f9a1c2d,There are currently 417 Mormon members as of 2017.,"The number of members in 1971 was 3,090,953 and now in 2017 based on the Annual Report, there are 15,882,417 worldwide."
206,fever,active,g24a_fever_101027,fever/SUPPORTS,increase,7e8ae7c11d1f,Minor League Baseball compete at levels below a baseball league.,Minor League Baseball is a hierarchy of professional baseball leagues in the Americas that compete at levels below Major League Baseball (MLB) and provide opportunities for player development and a way to prepare for the major leagues.
207,fever,active,g24a_fever_91599,fever/SUPPORTS,increase,60db8dc0422b,John Krasinski is a person.,"John Burke Krasinski ([krəˈzɪnski] born October 20, 1979) is an American actor and filmmaker."
208,fever,active,g24a_fever_228063,fever/SUPPORTS,increase,038c22bc9d8d,Caleb McLaughlin was born in the year 2001.,"Caleb McLaughlin (born October 13, 2001) is an American actor."
209,fever,active,g24a_fever_109744,fever/REFUTES,decrease,59bd7a1f27c6,The Winds of Winter did not receive universal acclaim from critics.,"""The Winds of Winter"" received universal acclaim from critics, listing it as one of the series' best episodes, with Matt Fowler of IGN calling it ""very surprising and satisfying."""
210,fever,active,g24a_fever_77834,fever/SUPPORTS,increase,9327af56a4ab,Eva Green made her film debut in a film directed by Bernardo Bertolucci.,She started her career in theatre before making her film debut in 2003 in Bernardo Bertolucci's film The Dreamers. The Dreamers is a 2003 romantic drama film directed by Bernardo Bertolucci.
211,fever,active,g24a_fever_184294,fever/REFUTES,decrease,77a802ca3b21,Vera Wang is exclusively from Australia.,"Vera Ellen Wang (, [u̯ɑ̌ŋ u̯éɪ̯u̯éɪ̯]; born June 27, 1949) is an American fashion designer based in New York City."
212,fever,active,g24a_fever_137706,fever/SUPPORTS,increase,586f13bd5bcf,Himalaya has Sikkim as part of it.,"A part of the Eastern Himalaya, Sikkim is notable for its biodiversity, including alpine and subtropical climates, as well as being a host to Kanchenjunga, the highest peak in India and third highest on Earth."
213,fever,active,g24a_fever_201603,fever/SUPPORTS,increase,381ed49fd57f,A thunderstorm is also known as an thundershower.,"A thunderstorm, also known as an electrical storm, lightning storm, or thundershower, is a storm characterized by the presence of lightning and its acoustic effect on the Earth's atmosphere, known as thunder."
214,fever,active,g24a_fever_133512,fever/REFUTES,decrease,28fdfa94baca,The 14th Dalai Lama fled to Japan during the Tibetan uprising.,"During the 1959 Tibetan uprising, the Dalai Lama fled to India, where he currently lives as a refugee."
215,fever,active,g24a_fever_172768,fever/SUPPORTS,increase,c3a15e26e6fb,The Beach is a film that falls under the adventure drama genre.,"The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland, which was adapted for the film by John Hodge."
216,fever,active,g24a_fever_148309,fever/REFUTES,decrease,4f88e0940be9,The Adventures of Pluto Nash failed to be a released film.,The Adventures of Pluto Nash is a 2002 Australian-American science fiction action comedy film starring Eddie Murphy (in a dual role) and directed by Ron Underwood.
217,fever,active,g24a_fever_114900,fever/SUPPORTS,increase,28a8dc9735bc,Minor League Baseball is a hierarchy of leagues.,Minor League Baseball is a hierarchy of professional baseball leagues in the Americas that compete at levels below Major League Baseball (MLB) and provide opportunities for player development and a way to prepare for the major leagues.
218,fever,active,g24a_fever_219688,fever/REFUTES,decrease,914bfe974209,Corsica is an book.,Corsica ([ˈkɔrsɪkə] Corse [kɔʁs] Corsican and Italian: Corsica [ˈkɔrsika]) is an island in the Mediterranean Sea and one of the 13 regions of France.
219,fever,active,g24a_fever_48377,fever/REFUTES,decrease,9290feca3326,Tremont Street Subway is incapable of serving any stations.,"It now forms the central part of the Green Line, connecting Boylston Street to Park Street and Government Center stations."
220,fever,active,g24a_fever_172309,fever/SUPPORTS,increase,8d067fcfd030,Scream 2 is an American film.,Scream 2 is a 1997 American slasher film directed by Wes Craven and written by Kevin Williamson.
221,fever,active,g24a_fever_183452,fever/REFUTES,decrease,d363a10f02e1,Henry III of France was murdered by the president of the local secularist reading group.,"In 1589, Jacques Clément, a Catholic fanatic, murdered Henry III, who was succeeded by the King of Navarre who, as Henry IV, would assume the throne of France after converting to Catholicism, and become the first French king of the House of Bourbon. During the French Wars of Religion, Clément became fanatically religious and an ardent partisan of the Catholic League."
222,fever,active,g24a_fever_4280,fever/REFUTES,decrease,00ec7b7478f9,Ekta Kapoor did not produce an Indian soap opera.,"She has produced numerous soap opera, television series and movies."
223,fever,active,g24a_fever_204981,fever/SUPPORTS,increase,aaa903d64ab1,Tyler Perry is an American actor.,"Tyler Perry (born Emmitt Perry Jr.; September 13, 1969) is an American actor, comedian, filmmaker, writer, and songwriter, specializing in the gospel genre."
224,fever,active,g24a_fever_193458,fever/SUPPORTS,increase,0f9497d7c4f2,Captain America's shield is used as a type of equipment.,It is the primary defensive and offensive piece of equipment used by the Marvel Comics superhero Captain America; he is seldom seen without it.
225,fever,active,g24a_fever_65234,fever/REFUTES,decrease,34aeb2da1350,South Island only has New Zealand's citizens.,"It has a 32 percent larger landmass than the North Island so is sometimes referred to as the ""mainland"" of New Zealand, especially by South Island residents, but only 23 percent of New Zealand's million inhabitants live there."
226,fever,active,g24a_fever_66046,fever/SUPPORTS,increase,39bcff4928c8,"In the highest-grossing Superman film of all time, Henry Cavill played the superhero.","Cavill gained further prominence and international fame playing the titular superhero Superman in the DC Extended Universe starting with the 2013 reboot film Man of Steel, originally the highest-grossing Superman film of all time until it was surpassed by 2016's Batman v Superman: Dawn of Justice, where he reprised his role as Superman; making it his highest-grossing film to date."
227,fever,active,g24a_fever_29092,fever/REFUTES,decrease,fd28119e5ed7,The Good Wife is a comedy.,"The Good Wife is an American legal and political drama television series that aired on CBS from September 22, 2009, to May 8, 2016."
228,fever,active,g24a_fever_91973,fever/REFUTES,decrease,576ae943c9fd,"Kenny Chesney died on March 26th, 1968.","Kenneth Arnold ""Kenny"" Chesney (born March 26, 1968) is an American country music singer, songwriter and record producer."
229,fever,active,g24a_fever_143011,fever/REFUTES,decrease,8ca72426619d,"Henri Kontinen's brother is a retired tennis player, who last played in 2008.",His brother Micke is a retired tennis player. Micke Kontinen (born 18 December 1992) is a Finnish tennis player. Kontinen has a career high ATP singles ranking of 355 achieved on 15 September 2014.
230,fever,active,g24a_fever_4536,fever/SUPPORTS,increase,e8a0c401e2a6,"Eric Church was born May 3, 1977.","Kenneth Eric Church (born May 3, 1977) is an American country music singer and songwriter."
231,fever,active,g24a_fever_123364,fever/SUPPORTS,increase,f4bf61f899a3,Brie Larson starred in a movie.,"Larson's breakthrough role came with the independent drama Short Term 12 (2013), for which she received critical acclaim."
232,fever,active,g24a_fever_137813,fever/REFUTES,decrease,379a361ea3eb,George III was killed by his son.,"Although it has since been suggested that he had the blood disease porphyria, the cause of his illness remains unknown."
233,fever,active,g24a_fever_48142,fever/SUPPORTS,increase,bfcf3bfcfed0,Edward Cullen is in books.,Edward Cullen (né Edward Anthony Masen) is a fictional character in Stephenie Meyer's Twilight series. Twilight (stylized as twilight) (2005) is a young adult vampire-romance novel by author Stephenie Meyer.
234,fever,active,g24a_fever_174034,fever/SUPPORTS,increase,3953666c8bc3,The Endless River is an album of a band which formed in London.,The Endless River is the fifteenth and final studio album by the English rock band Pink Floyd. Pink Floyd were an English rock band formed in London.
235,fever,active,g24a_fever_58896,fever/SUPPORTS,increase,3f3094217dfa,Omar Khadr was detained at Guantanamo Bay.,"Omar Ahmed Sayid Khadr (born September 19, 1986) is a Canadian who was detained at Guantanamo Bay as a minor and held there for 10 years."
236,fever,active,g24a_fever_194486,fever/SUPPORTS,increase,7576010c7ac1,Tilda Swinton acts.,"She is the recipient of two BAFTA Awards, one BIFA Award, an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award."
237,fever,active,g24a_fever_118708,fever/SUPPORTS,increase,59d1585875e3,Temple Grandin stars Claire Danes.,"Temple Grandin is a 2010 biopic directed by Mick Jackson and starring Claire Danes as Temple Grandin, an autistic woman who revolutionized practices for the humane handling of livestock on cattle ranches and slaughterhouses."
238,fever,active,g24a_fever_136853,fever/REFUTES,decrease,c33ad58a66dc,Rachel Green is a fictional hat.,"Rachel Karen Green is a fictional character, one of the six main characters who appeared in the American sitcom Friends."
239,fever,active,g24a_fever_119630,fever/SUPPORTS,increase,83ec279d8b29,Off the Wall is a record by Michael Jackson.,"Off the Wall is the fifth studio album by American singer Michael Jackson, released on August 10, 1979 in the United States by Epic Records and internationally by CBS Records."
240,fever,active,g24a_fever_73113,fever/REFUTES,decrease,4a000eb00cc8,Scotty Moore was only German.,"Winfield Scott ""Scotty"" Moore III (December 27, 1931 -- June 28, 2016) was an American guitarist and recording engineer."
241,fever,active,g24a_fever_35881,fever/SUPPORTS,increase,70b16e2389b2,Pearl (Steven Universe) exists as a magical gemstone.,"She is a ""Gem"", a fictional alien being that exists as a magical gemstone projecting a holographic body."
242,fever,active,g24a_fever_55468,fever/SUPPORTS,increase,ff2fdb238ec3,The Romani people's migrations have taken them to Canada.,"In migrations since the late nineteenth century, Romani have also moved to other countries in South America and to Canada."
243,fever,active,g24a_fever_218111,fever/REFUTES,decrease,f0c86e541721,The Indian National Congress was founded only before December 1884.,"It was founded in Bombay in late December 1885, during the British Raj in India."
244,fever,active,g24a_fever_189710,fever/SUPPORTS,increase,1198a54d791d,Martial arts films contain numerous martial arts fights between characters.,"A subgenre of the action film, martial arts films contain numerous martial arts fights between characters."
245,fever,active,g24a_fever_12843,fever/SUPPORTS,increase,50fdb8664295,Penguin Books revolutionized publishing in the 1930s.,"Penguin revolutionised publishing in the 1930s through its inexpensive paperbacks, sold through Woolworths and other high street stores for sixpence, bringing high-quality paperback fiction and non-fiction to the mass market."
246,fever,active,g24a_fever_172766,fever/REFUTES,decrease,d3d1335694d9,The Beach is based solely on a 1990 novel.,"The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland, which was adapted for the film by John Hodge."
247,fever,active,g24a_fever_25906,fever/REFUTES,decrease,05fd45d980fb,Antigua and Barbuda was named in honor of Tim Burton.,"The country's name was given by Christopher Columbus in 1493 after discovering the island, in honor of the Virgin of La Antigua in the Seville Cathedral."
248,fever,active,g24a_fever_204355,fever/REFUTES,decrease,6f35a880c522,In the Cretaceous pterosaurs and large marine reptiles prospered and continued their survival.,"The Cretaceous ended with a large mass extinction, the Cretaceous -- Paleogene extinction event, in which many groups, including non-avian dinosaurs, pterosaurs and large marine reptiles died out."
249,fever,active,g24a_fever_70281,fever/REFUTES,decrease,7e9dc9b152c4,"There are rumors that Augustus' marble, Livia, poisoned him.","He probably died from natural causes, although there were unconfirmed rumors that his wife Livia poisoned him."
250,fever,active,g24a_fever_174893,fever/SUPPORTS,increase,177ed7567026,The Alfred P. Murrah Federal Building was demolished at 200 N.W. 5th Street.,"The Alfred P. Murrah Federal Building was a United States federal government complex located at 200 N.W. 5th Street in Downtown Oklahoma City, Oklahoma, United States."
251,fever,active,g24a_fever_53832,fever/SUPPORTS,increase,672d640e5b50,Babur was a conqueror.,"Babur ([بابر, lit = Tiger, translit = Bābur] 14 February 148326 December 1530), born Ẓahīr-ud-Dīn Muḥammad ([ظهیرالدین محمد, translit = Ẓahīr ad-Dīn Muḥammad]), was a conqueror from Central Asia who, following a series of setbacks, finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor."
252,fever,active,g24a_fever_201793,fever/SUPPORTS,increase,436e6c656733,Live Through This is an album.,Live Through This is the second studio album by American alternative rock band Hole.
253,fever,active,g24a_fever_117380,fever/SUPPORTS,increase,9eae1cc6c100,Fuller House (TV series) is a sequel to a Full House.,"Fuller House is an American family sitcom and sequel to the 1987 -- 95 television series Full House, airing as a Netflix original series."
254,fever,active,g24a_fever_121283,fever/REFUTES,decrease,5f866029e5fe,"Lost lasted from October 14, 1985 to December 13, 1999.","Lost is an American television drama series that originally aired on the American Broadcasting Company (ABC) from September 22, 2004, to May 23, 2010, over six seasons, comprising a total of 121 episodes."
255,fever,active,g24a_fever_5420,fever/SUPPORTS,increase,b9be716ddc5e,Stephen Hillenburg developed an interest in art.,"Born in Lawton, Oklahoma and raised in Anaheim, California, Hillenburg became fascinated with the ocean as a child and also developed an interest in art."
256,fever,active,g24a_fever_26224,fever/SUPPORTS,increase,8e50c20b8307,Efraim Diveroli is a former arms dealer.,"Efraim Diveroli (born December 20, 1985) is an American former arms dealer and author."
257,fever,active,g24a_fever_111069,fever/SUPPORTS,increase,f5fc7b6a4fbb,2 Hearts came out after May 1923.,"""2 Hearts"" is a song recorded by Australian singer Kylie Minogue for her tenth studio album, X (2007)."
258,fever,active,g24a_fever_155911,fever/SUPPORTS,increase,0c3d96001cc6,Food Network is offered to 83.3% of homes with a television.,"As of February 2015, Food Network is available to approximately 96,931,000 pay television households (83.3% of households with television) in the United States."
259,fever,active,g24a_fever_81480,fever/REFUTES,decrease,cb11a3e0bc3c,Matt Bomer was born in Spain.,"Matthew Staton Bomer (born October 11, 1977) is an American actor."
260,fever,active,g24a_fever_162837,fever/SUPPORTS,increase,16a3a9de17fa,Islamabad has fifteen universities.,"The city is home to sixteen universities, including the Quaid-e-Azam University and NUST."
261,fever,active,g24a_fever_1947,fever/SUPPORTS,increase,0d85ba6cd6d3,Raja Hindustani is a movie.,Raja Hindustani (translation: Indian King) is a 1996 Indian blockbuster Hindi-language drama romance film directed by Dharmesh Darshan.
262,fever,active,g24a_fever_179834,fever/SUPPORTS,increase,02bf56aa0cc8,Vic Mensa is an American.,"Victor Kwesi Mensah (born June 6, 1993), better known by his stage name Vic Mensa, is a Grammy-nominated American rapper from Chicago, Illinois."
263,fever,active,g24a_fever_144725,fever/REFUTES,decrease,b8dfcb5f49d0,Yemen is the fourth-largest country in the Arabian peninsula.,"Yemen ([ˈjɛmən] اليَمَن), officially known as the Republic of Yemen, is an Arab country in Western Asia, occupying South Arabia, the southern end of the Arabian Peninsula. Yemen is the second-largest country in the peninsula, occupying 527,970 km2 (203,850 sq mi)."
264,fever,active,g24a_fever_37067,fever/SUPPORTS,increase,7a69ae4c970b,"Lee Daniels directed a film based on the novel ""Push.""","He produced Monster's Ball and directed Precious, which received six Academy Award nominations, including Best Director; the film won two of the awards. Precious: Base on Nol by Saf (Based on the Novel ""Push"" by Sapphire), or simply Precious, is a 2009 American drama film, directed and co-produced by Lee Daniels."
265,fever,active,g24a_fever_24271,fever/SUPPORTS,increase,1c3a528ca022,The New York Knicks are in the Atlantic Division of the National Press Club's Eastern Conference.,The Knicks compete in the National Basketball Association (NBA) as a member of the Atlantic Division of the Eastern Conference.
266,fever,active,g24a_fever_110538,fever/REFUTES,decrease,025e084c3abf,John Frusciante released twelve solo albums.,"Frusciante has an active solo career, having released eleven solo albums and five EPs; his recordings include elements ranging from experimental rock and ambient music to new wave and electronica."
267,fever,active,g24a_fever_195370,fever/REFUTES,decrease,2e8f4069a13c,Graffiti was released in 2005.,"It was released on December 7, 2009, by Jive Records."
268,fever,active,g24a_fever_184303,fever/REFUTES,decrease,656fe540982d,Vera Wang is an Armenian Fashion Designer.,"Vera Ellen Wang (, [u̯ɑ̌ŋ u̯éɪ̯u̯éɪ̯]; born June 27, 1949) is an American fashion designer based in New York City."
269,fever,active,g24a_fever_93855,fever/REFUTES,decrease,ccded6aab201,Bhagat Singh was murdered.,"Singh was convicted and hanged in March 1931, aged 23. A murder is the unlawful killing of another human without justification or valid excuse, especially the unlawful killing of another human being with malice aforethought."
270,fever,active,g24a_fever_227083,fever/SUPPORTS,increase,4179b13d5c7a,Roar (song) is on the Katy Perry album Prism.,"""Roar"" is a song by American singer Katy Perry for her fourth studio album, Prism (2013)."
271,fever,active,g24a_fever_207528,fever/SUPPORTS,increase,f4fd6e6d46c2,Mel B had a career.,"Melanie Janine Brown (born 29 May 1975), better known as Mel B or Melanie B, is an English singer, songwriter, presenter, television personality, dancer, actress, author, and model."
272,fever,active,g24a_fever_114974,fever/SUPPORTS,increase,2e1593c9dd48,Creedence Clearwater Revival was informally abbreviated.,"Creedence Clearwater Revival, often informally abbreviated to Creedence or CCR, was an American rock band active in the late 1960s and early 1970s."
273,fever,active,g24a_fever_20291,fever/SUPPORTS,increase,f7fb4a31e35e,Meteora is an album by an American band.,Meteora is the second studio album by American rock band Linkin Park.
274,fever,active,g24a_fever_109582,fever/REFUTES,decrease,56938952178d,US Airways Flight 1549 did not have any people on board.,All 155 people aboard were rescued by nearby boats and there were few serious injuries.
275,fever,active,g24a_fever_112934,fever/SUPPORTS,increase,7a84147867db,Juventus F.C. has worn a black-and-white-striped home uniform since 1903.,"The club is the second oldest of its kind still active in the country after Genoa's football section (1893), has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds, being the latest the 41,507-capacity Juventus Stadium."
276,fever,active,g24a_fever_148599,fever/SUPPORTS,increase,5cffaea06d2b,Eddie Guerrero was addicted to alcohol.,"He experienced various substance abuse problems, including alcoholism and an addiction to painkillers; these real-life issues were sometimes incorporated into his storylines."
277,fever,active,g24a_fever_43458,fever/SUPPORTS,increase,8d2d5f5f6c39,Janet Leigh was American.,"Janet Leigh (born Jeanette Helen Morrison; July 6, 1927 -- October 3, 2004) was an American actress, singer, dancer and author."
278,fever,active,g24a_fever_104221,fever/SUPPORTS,increase,3ebd92cdaae4,Toy Story 2 was released by a production company.,"Toy Story 2 is a 1999 American computer-animated comedy adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Pixar ([ˈpɪksɑr]), also referred to as Pixar Animation Studios, is an American computer animation film studio based in Emeryville, California that is a subsidiary of The Walt Disney Company."
279,fever,active,g24a_fever_81046,fever/SUPPORTS,increase,59a4f46498e7,Yale University has had many alumni who were notable.,"Yale has graduated many notable alumni, including five U.S. Presidents, 19 U.S. Supreme Court Justices, 20 living billionaires, and many heads of state."
280,fever,active,g24a_fever_138865,fever/REFUTES,decrease,a355df7215da,Babur was the third Mughal emperor.,"Babur ([بابر, lit = Tiger, translit = Bābur] 14 February 148326 December 1530), born Ẓahīr-ud-Dīn Muḥammad ([ظهیرالدین محمد, translit = Ẓahīr ad-Dīn Muḥammad]), was a conqueror from Central Asia who, following a series of setbacks, finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor."
281,fever,active,g24a_fever_202032,fever/REFUTES,decrease,26becd6b82f9,Tamerlan Tsarnaev was declared a victim of a bombing by the FBI.,"Shortly after the Federal Bureau of Investigation declared them suspects in the bombings and released images of them, the Tsarnaev brothers killed an MIT policeman, carjacked an SUV, and engaged in a shootout with the police in the Boston suburb of Watertown."
282,fever,active,g24a_fever_199265,fever/REFUTES,decrease,f273c1c75707,Prince Charles and Lady Diana eloped in July 1981.,"The wedding of Charles, Prince of Wales, and Lady Diana Spencer took place on Wednesday 29 July 1981 at St Paul's Cathedral, London, United Kingdom."
283,fever,active,g24a_fever_13829,fever/SUPPORTS,increase,6aeb9098abf2,Balibo (film) starts in the year 1975.,"Balibo is a 2009 Australian war film that follows the story of the Balibo Five, a group of journalists who were captured and killed while reporting on activities just prior to the Indonesian invasion of East Timor of 1975."
284,fever,active,g24a_fever_28754,fever/REFUTES,decrease,c177c632a156,The Blue Dog Coalition was formed in 1997.,It was formed in 1995 during the 104th Congress to give more conservative members from the Democratic party a unified voice after the Democrats' loss of Congress in the U.S. Congressional election of 1994.
