seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
75,yes,g24cfb_075,5ede072fc9e77c00084d3292,train,164712,Lil Bibby,ed5b73adce40,"Lil Bibby 's `` FC3 : The Epilogue '' will be released before December 30 , 2016 .","Bibby 's latest project , Free Crack 3 was released on November 27 , 2015 and his upcoming projects `` FC3 : The Epilogue '' is set to be released on November 18 , 2016 and `` Free Crack 4 '' on December 25 , 2016.","Bibby 's latest project , Free Crack 3 was released on November 27 , 2015 and his upcoming projects `` Free Crack 4 is set to be released over the Christmas Holidays 2016 and his highly anticipated album `` FC3 : The Epilogue '' ( name to change ) on January 27 , 2017."
76,yes,g24cfb_076,5ed4de05c9e77c00084899c9,train,163527,Lamar Jackson,13ce34642efa,Lamar Demeatrice Jackson Jr. is an American football running back .,"Lamar Demeatrice Jackson Jr. ( born January 7 , 1997 ) is an American football runningback for the Baltimore Ravens of the National Football League ( NFL ) .","Lamar Demeatrice Jackson Jr. ( born January 7 , 1997 ) is an American football quarterback for the Baltimore Ravens of the National Football League ( NFL ) ."
77,yes,g24cfb_077,5eb9573ac9e77c0008fa167e,train,29480,Hobbs & Shaw,5c3d0bfe2e1f,Fast & Furious Presents : Hobbs & Shaw ( film ) is also called `` Padh and Paddu '' .,Fast & Furious Presents : Hobbs & Shaw ( also known simply as Padh and Paddu and as Fast & Furious : Hobbs & Shaw internationally ) is a 2019 American action film that is a spin-off of The Fast and the Furious franchise .,Fast & Furious Presents : Hobbs & Shaw ( also known simply as Hobbs and Shaw and as Fast & Furious : Hobbs & Shaw internationally ) is a 2019 American action film that is a spin-off of The Fast and the Furious franchise .
78,yes,g24cfb_078,5ed4de08c9e77c000848a41d,train,163054,Kung Fu Panda 2,298d9e173e97,"In Kung Fu Panda 2 , Po dedicates his life to what he always wanted after thirty years .","Thirty years later , Po is living his dream as the Dragon Warrior , protecting the Valley of Peace alongside his friends and fellow kung fu masters , the Furious Five .","Three years later , Po is living his dream as the Dragon Warrior , protecting the Valley of Peace alongside his friends and fellow kung fu masters , the Furious Five ."
79,yes,g24cfb_079,5ec5598dc9e77c000842c40d,train,131392,Ace of Base,3709ba1dee43,The Swedish pop group Ace of Base was formed in Gothenburg in 1990 .,"Ace of Base was a Swedish pop group formed in Gothenburg in 1990 , originally consisting of Ulf `` Buddha '' Ekberg and three siblings : Jonas `` Joker '' Berggren , Malin `` Linn '' Berggren and Jenny Berggren .","Ace of Base was a Swedish pop group , originally consisting of Ulf `` Buddha '' Ekberg and three siblings : Jonas `` Joker '' Berggren , Malin `` Linn '' Berggren and Jenny Berggren ."
80,yes,g24cfb_080,5ec5598dc9e77c000842c365,train,110262,The Whole Ten Yards,382bfedb6319,The Whole Ten Yards has diverse reviews from critics .,"The Whole Ten Yards has been mixed reviews , receiving overwhelming laughable reviews upon its release .","The Whole Ten Yards has been panned by critics , receiving overwhelming negative reviews upon its release ."
81,yes,g24cfb_081,5ebbf32bc9e77c00092956dc,test,4481,Fun and Fancy Free,42a7f8c6d867,The movie Fun and Fancy Free uses live-action segments to join its plot together .,"The film is primarily animated , but also uses live-action segments to join its plot together .","Though the film is primarily animated , it also uses live-action segments to join its two stories together ."
82,yes,g24cfb_082,5ee39416c9e77c0008ccd802,train,245282,The Danish Girl -LRB-film-RRB-,a7a14e469b3d,Alicia Vikander played the role of Gerda in The Danish Girl .,"The film stars Eddie Redmayne as Elbe , one of the first known recipients of sex change surgery , Alicia Vikander as Gerda , Matthias Schoenaerts as Hans Axgil , and Ben Whishaw as Henrik .","The film stars Eddie Redmayne as Elbe , one of the first known recipients of sex change surgery , Alicia Vikander as Wegener , Matthias Schoenaerts as Hans Axgil , and Ben Whishaw as Henrik ."
83,yes,g24cfb_083,5eb29885c9e77c0008d926a8,dev,2014,Onimusha,4f0fa857b8c2,Onimusha is Capcom 's sixth-biggest franchise .,"As of 2012 , Onimusha is Capcom 's sixth biggest franchise , behind the Resident Evil , Street Fighter , Mega Man , Monster Hunter , and Devil May Cry series.","As of 2017 , the series has sold over 8 million copies , making it Capcom 's seventh best-selling franchise , behind the Resident Evil , Monster Hunter , Street Fighter , Mega Man , Devil May Cry and Dead Rising series."
84,yes,g24cfb_084,5ece9460c9e77c00084658b9,train,133515,American Wedding,47a2ae2b1477,"A main series sequel to American Wedding was released on April 6 , 2012 .","A `` main series '' sequel , titled American Reunion , was released April 6 , 2012 .","A primary film series sequel , titled American Reunion , was released April 5 , 2012 ."
85,yes,g24cfb_085,5ee3932cc9e77c0008ccaa10,train,207896,2020 coronavirus pandemic in Poland,f5dbb8fe6eb9,Jarosław Kaczyński used to be the Prime Minister of Poland .,"Police stated that the 10 April gathering of former prime minister Jarosław Kaczyński and nine other people , standing close together without masks , commemorating the Smolensk air disaster by laying a wreath , did not constitute a gathering in the sense of big gatherings forbidden in relation to the COVID-19 pandemic .","Police stated that the 10 April gathering of the de facto leader of Poland Jarosław Kaczyński and nine other people , standing close together without masks , commemorating the Smolensk air disaster by laying a wreath , did not constitute a gathering in the sense of big gatherings forbidden in relation to the COVID-19 pandemic ."
86,yes,g24cfb_086,5ed7ad00c9e77c00084a5d2d,train,173117,Paulo Sousa,f5c7d5c9e9b6,The footballer Paulo Sousa managed football clubs in two countries of the UK .,"In the late 2000s he took up coaching , managing several clubs in England and Wales.","In the late 2000s he took up coaching , managing several clubs in England and Wales , as well as Hungary."
87,yes,g24cfb_087,5ee393b7c9e77c0008ccc57d,train,205035,2020 coronavirus pandemic in Mexico,d18f1e3cf735,There was only one coronavirus death reported in Mexico by 15th March .,"As of March 15 , there had been 82 cases of CoVID-19 in Mexico and 1 reported death .","As of March 15 , there had been 82 cases of CoVID-19 in Mexico and no reported deaths ."
88,yes,g24cfb_088,5ec284fec9e77c0008417859,train,92928,Memphis Bleek,2ff17dfdb6b2,Fewer than three of Memphis Bleek 's albums were certified Gold by the RIAA .,"He has released four albums during his career ( 2 of which went Gold by the RIAA ) , and had planned to release The Process in 2011 , although the album has not yet been released.","He has released four albums during his career ( 3 of which went Gold by the RIAA ) , and had planned to release The Process in 2011 , although the album has not yet been released."
89,yes,g24cfb_089,5ed7ad00c9e77c00084a5f4d,train,153200,Goran Dragić,9028036c866a,Goran Dragić´s father is from Bosnia .,Dragić was born to a Slovenian mother and a Bosnian father .,Dragić was born to a Slovenian mother and a Serbian father .
90,yes,g24cfb_090,5ee39416c9e77c0008ccdafc,train,243485,Slash -LRB-musician-RRB-,6448bc37298c,Slash has released three solo albums .,"Slash has released three solo albums : Slash ( 2010 ) , featuring an array of guest musicians , and Apocalyptic Love ( 2012 ) , World on Fire ( 2014 ) and Living the Dream ( 2018 ) recorded with his band , Myles Kennedy and the Conspirators .","Slash has released four solo albums : Slash ( 2010 ) , featuring an array of guest musicians , and Apocalyptic Love ( 2012 ) , World on Fire ( 2014 ) and Living the Dream ( 2018 ) recorded with his band , Myles Kennedy and the Conspirators ."
91,yes,g24cfb_091,5eb29887c9e77c0008d92c96,train,13785,Raja Kumari,fba0f087b4c5,Svetha Rao was born after 1990 .,"Svetha Rao ( born January 11 , 1996 ) , professionally known as Raja Kumari ( 'The princess ' in Sanskrit ) , is an Indian American songwriter , rapper and recording artist from Claremont , California .","Svetha Rao ( born January 11 , 1986 ) , professionally known as Raja Kumari ( 'The princess ' in Sanskrit ) , is an Indian American songwriter , rapper and recording artist from Claremont , California ."
92,yes,g24cfb_092,5ec284ffc9e77c0008417c07,train,95052,Nevada Wolf Pack football,385e2ef4d690,USC Trojans have got 1st place in the National Championship after defeating the Nevada Wolf Pack .,"Nevada-38 Fresno State-35 on November 26 , 2005 : Fresno State was ranked number 16 in the nation , and just came off a narrow defeat at the hands of the eventual National Champion USC Trojans .","Nevada-38 Fresno State-35 on November 26 , 2005 : Fresno State was ranked number 16 in the nation , and just came off a narrow defeat at the hands of the eventual National Champion runner up USC Trojans ."
93,yes,g24cfb_093,5ed7ad02c9e77c00084a6f48,train,139547,Brian Clough,eaae1587efcf,"In 2017 , according to the UEFA , Brian Clough was one of the greatest managers ever .","In 2017 , Clough was named one of the greatest managers of all time by UEFA .","In August 2016 , Clough was named one of the greatest managers of all time by UEFA ."
94,yes,g24cfb_094,5eb29886c9e77c0008d92af4,train,12846,Byron Maxwell,4f004916c167,Byron S. Maxwell is a free agent .,"Byron S. Maxwell ( born February 23 , 1988 ) is an American football cornerback who is currently a free agent .","Byron S. Maxwell ( born February 23 , 1988 ) is an American football cornerback for the Miami Dolphins of the National Football League ( NFL ) ."
95,yes,g24cfb_095,5eb29889c9e77c0008d9417d,train,24083,Escape Room -LRB-film-RRB-,11a59504743e,Escape Room is an American-Canadian film .,Escape Room is a 2019 American-Canadian psychological horror film directed by Adam Robitel and written by Bragi F. Schut and Maria Melnik .,Escape Room is a 2019 American psychological horror film directed by Adam Robitel and written by Bragi F. Schut and Maria Melnik .
96,yes,g24cfb_096,5ee39419c9e77c0008ccf7b7,test,31920,Jab Tak Hai Jaan,81b4c221b9cc,Shahrukh Khan played the role of Samar Anand in Jab Tak Hai Jaan .,"Samar Anand ( Shahrukh Khan ) , a major in the Indian Army , defuses a bomb without fear or regard for his safety .","vikram singh ( akshay kumar ) , a major in the Indian navy , defuses a bomb without fear or regard for his safety ."
97,yes,g24cfb_097,5ece9463c9e77c0008467353,test,22249,Stonewall riots,1d141ae8bd9a,The Stonewall rioters demonstrated against the raid on The Black Cat Tavern in Los Angeles after 1966 .,"Not only had the Mattachine Society been active in major cities such as Los Angeles and Chicago , but similarly marginalized people started the riot at Compton 's Cafeteria in 1966 , and a staged a demonstration in response to a raid on The Black Cat Tavern in Los Angeles in 1967.Witt et al. ,","Not only had the Mattachine Society been active in major cities such as Los Angeles and Chicago , but similarly marginalized people started the riot at Compton 's Cafeteria in 1966 , and another riot responded to a raid on Los Angeles ' Black Cat Tavern in 1967.Witt et al. ,"
98,yes,g24cfb_098,5ee39417c9e77c0008cce787,train,248727,Wrath of the Titans,192c5c00df81,The film Wrath of the Titans has mixed reviews .,Wrath of the Titans received generally mixed reviews from critics .,Wrath of the Titans received generally negative reviews from critics .
99,yes,g24cfb_099,5ec7d50fc9e77c000844320c,dev,26482,U-God,35e65799a0f0,Lamont Jody Hawkins was born after 1974 .,"Lamont Jody Hawkins ( born October 11 , 1975 ) , better known as U-God , is an American rapper and member of the hip hop collective , Wu-Tang Clan .","Lamont Jody Hawkins ( born October 11 , 1972 ) , better known as U-God , is an American rapper and member of the hip hop collective , Wu-Tang Clan ."
100,yes,g24cfb_100,5ed4de03c9e77c00084894af,train,149949,Felipe Caicedo,5de08c380f51,Felipe Caicedo currently plays for Lazio .,Felipe Salvador Caicedo Corozo ( born 5 September 1988 ) is an Ecuadorian professional footballer who plays as a striker for Italian club Lazio .,Felipe Salvador Caicedo Corozo ( born 5 September 1988 ) is an Ecuadorian professional footballer who plays as a striker for English club Leeds .
101,yes,g24cfb_101,5ee39417c9e77c0008cce4ad,train,245217,The Crazies -LRB-2010 film-RRB-,626ca807b409,Cedar Rapids was destroyed after the end of the 2010 film `` The Crazies '' .,"After that , the news clip cuts to a soldier with his rifle brandished , then to a snarling crazy , and finally simply the words `` Signal Lost , '' strongly implying that Cedar Rapids was destroyed after the events of the film.","After that , the news clip cuts to a soldier with his rifle brandished , then to a snarling crazy , and finally simply the words `` Signal Lost , '' strongly implying that the much larger city of Cedar Rapids was infected after the events of the film."
102,yes,g24cfb_102,5ec5598fc9e77c000842ca0e,train,103408,Sophie Winkleman,561829206135,Sophie Winkleman suffered a broken neck in car crash .,"On 3 December 2017 , it was reported that Winkleman had been seriously injured in a head-on car crash , suffering a broken neck and foot .","On 3 December 2017 , it was reported that Winkleman had been seriously injured in a head-on car crash , suffering a broken back and foot ."
103,yes,g24cfb_103,5ee39417c9e77c0008cce922,train,240062,Minions -LRB-film-RRB-,280ce3d7e798,Minions is the second-highest-grossing animated film,"The film has grossed over $ 1.1 billion worldwide ( outgrossing each of the Despicable Me films ) , making it the fifth-highest-grossing film of 2015 , the seventeenth-highest-grossing film of all time , the second-highest-grossing animated film and the highest-grossing non-Disney animated film .","The film has grossed over $ 1.1 billion worldwide ( outgrossing each of the Despicable Me films ) , making it the fifth-highest-grossing film of 2015 , the seventeenth-highest-grossing film of all time , the Third-highest-grossing animated film and the highest-grossing non-Disney animated film ."
104,yes,g24cfb_104,5ee3932ac9e77c0008cc9922,train,215141,2020 stock market crash,9ca587407e23,OPEC and Russia failed to agree about oil production cuts before March 6 .,"After OPEC and Russia failed to agree on oil production cuts on 5 March and Saudi Arabia and Russia both announced increases in oil production on 7 March , oil prices fell by 25 percent .","After OPEC and Russia failed to agree on oil production cuts on 6 March and Saudi Arabia and Russia both announced increases in oil production on 7 March , oil prices fell by 25 percent ."
105,yes,g24cfb_105,5eafed81c9e77c0009ce1800,train,6558,Survivor-COLON- Nicaragua,e4d90bc9c106,Fabio is the men 's winner in Survivor : Nicaragua .,Fabio outlasted Chase to win the men 's side .,Jud outlasted Chase to win the men 's side .
106,yes,g24cfb_106,5ec5598bc9e77c000842bec1,dev,10840,Dorset,49e38c06e24d,There is only one bus company in Dorset called `` The Wilts & Dorset '' .,The Wilts & Dorset bus company has a county wide network with frequent services linking major towns and a limited service in rural locations .,morebus and Damory share a county wide network with frequent services linking major towns and a limited service in rural locations .
107,yes,g24cfb_107,5ea2d97dc9e77c0009cdb38e,train,124630,History of the Jews in Spain,660d68096c62,The Sephardic community attempted to convert Jewish `` Christians '' .,"`` Although initially the often bloody disputes among Muslim factions generally kept Jews out of the political sphere , the first approximately two centuries which preceded the `` '' Golden Age '' '' were marked by increased activity by Jews in a variety of professions , including medicine , commerce , finance , and agriculture ( Raphael , p.ï¿½71 ) .By the ninth century , some members of the Sephardic community felt confident enough to take part in proselytizing amongst previously Jewish `` '' Christians '' '' . ''","`` Although initially the often bloody disputes among Muslim factions generally kept Jews out of the political sphere , the first approximately two centuries which preceded the `` '' Golden Age '' '' were marked by increased activity by Jews in a variety of professions , including medicine , commerce , finance , and agriculture ( Raphael , p.ï¿½71 ) .By the ninth century , some members of the Sephardic community felt confident enough to take part in proselytizing amongst previously Jewish `` '' Catholics '' '' . ''"
108,yes,g24cfb_108,5ed7ad01c9e77c00084a64c7,train,173645,Pierre Garçon,5a3c1ffda2df,Pierre Garçon joined the Miami Dolphins in early 2012 .,"On March 13 , 2012 , Garçon signed with the Miami Dolphins .","On March 13 , 2012 , Garçon signed with the washington redskins ."
109,yes,g24cfb_109,5ec7d50ec9e77c0008442db1,train,188494,The Sweet,20e49ff40821,Tucker and Connolly were part of Wainwright 's Gentlemen until before 1968 .,Tucker and Connolly remained with Wainwright 's Gentlemen until the end of 1967 .,Tucker and Connolly remained with Wainwright 's Gentlemen until January 1968 .
110,yes,g24cfb_110,5ece9461c9e77c0008466345,train,107762,The Jeremy Kyle Show,36f94f5178e4,Multiple allegations dating back to 2011 that guests were separated prior to The Jeremy Kyle Show .,As well as multiple allegations dating back to 2011 that guests were separated prior to the show and assigned separate researchers who would 'wind up ' guests in order to bring about a reaction when they came together on the show.,"It was alleged in a 2011 article by Zoe Williams of The Guardian , that guests were separated prior to the show and assigned separate researchers who would `` wind up '' guests in order to bring about a reaction when they came together on the show."
111,yes,g24cfb_111,5ece9463c9e77c00084670b3,train,219268,Jalen Ramsey,3a4e9a2a2071,Jalen Ramsey plays for Philadelphia Eagles in the NFL .,"Jalen Lattrel Ramsey ( born October 24 , 1994 ) is an American football cornerback for the Philadelphia Eagles of the National Football League ( NFL ) .","Jalen Lattrel Ramsey ( born October 24 , 1994 ) is an American football cornerback for the Kansas City Chiefs of the National Football League ( NFL ) ."
112,yes,g24cfb_112,5ebe6f31c9e77c0008409574,train,53722,Shazam! -LRB-film-RRB-,416548289f1c,Shazam ! was produced by New Line Cinema .,"Produced by New Line Cinema and distributed by Warner Bros. Pictures , it is the seventh installment in the DC Extended Universe ( DCEU ) .","Produced by kulbir yadav and distributed by Warner Bros. Pictures , it is the seventh installment in the DC Extended Universe ( DCEU ) ."
113,yes,g24cfb_113,5ece9462c9e77c0008466d24,train,160465,John McGinn,812c9b7c6a4c,Stephen and Mary have more than ten children .,John is the third of twenty four children to parents Stephen and Mary .,John is the third of four children to parents Stephen and Mary .
114,yes,g24cfb_114,5ec284fdc9e77c000841621e,train,85066,Invincible -LRB-Michael Jackson album-RRB-,9aff3cd969e9,Music critics gave Invincible mixed to positive reviews .,"Upon release , the album received mixed to favorable reviews from contemporary music critics .","Upon release , the album received mixed reviews from contemporary music critics ."
115,yes,g24cfb_115,5ec7d50fc9e77c0008443413,train,134694,Anomalisa,f3b5a691f0e2,Anomalisa is a romantic comedy-drama .,"Anomalisa is a 2015 American stop-motion adult animated romantic comedy-drama film directed and produced by Charlie Kaufman and Duke Johnson , and written by Kaufman based on his own play of the same name ( released under the pseudonym Francis Fregoli ) .","Anomalisa is a 2015 American stop-motion adult animated introspective romantic drama film directed and produced by Charlie Kaufman and Duke Johnson , and written by Kaufman based on his own play of the same name ( released under the pseudonym Francis Fregoli ) ."
116,yes,g24cfb_116,5ee393b7c9e77c0008ccc631,test,29845,2020 coronavirus pandemic in Moldova,e227f4216b3d,The first person who died from coronavirus in Moldova was younger than 61 years old .,"On 18 March 2020 , the first death has been confirmed , a 60-year-old woman who had travelled to Italy.","On 18 March 2020 , the first death has been confirmed , a 61-year-old woman who had travelled to Italy."
117,yes,g24cfb_117,5ed7acfcc9e77c00084a54d9,train,139807,Bruce Almighty,276990c3fd9b,"Evan Almighty , a follow up to Bruce Almighty , was released in 2007 .","Evan Almighty , a spin off sequel focusing on Carell 's character , with Shadyac and Oedekerk returning to direct and write , and Freeman also reprising his role , was released in 2007 , to overall negative reviews.","Evan Almighty , a spin off sequel focusing on Carell 's character , with Shadyac and Oedekerk returning to direct and write , and Freeman also reprising his role , was released in 2017 , to overall negative reviews."
118,yes,g24cfb_118,5ee393b6c9e77c0008ccbba7,train,202294,2020 coronavirus pandemic in Iran,034a6a8d26fe,"Iran had sixth-highest number of coronavirus fatalities as of March 30 , 2020 .","As of 30 March 2020 , Iran has the sixth-highest number of COVID-19 deaths after Italy , China , Spain , United States and France , and the sixth-highest number of SARS-CoV-2 cases in the world .","As of 31 March 2020 , Iran has the sixth-highest number of COVID-19 deaths after Italy , China , Spain , United States and France , and the sixth-highest number of SARS-CoV-2 cases in the world ."
119,yes,g24cfb_119,5ece9463c9e77c000846767f,train,136986,Beach House,67b8fed77ec2,Beach House is a dream pop duo .,"Beach House is a dream pop duo formed in 2004 in Baltimore , Maryland , consisting of French-born Victoria Legrand and Baltimore native Alex Scally .","Beach House is indie rock duo formed in 2004 in Baltimore , Maryland , consisting of French-born Victoria Legrand and Baltimore native Alex Scally ."
120,yes,g24cfb_120,5ece9462c9e77c0008466ff5,train,193661,Zoey 101,6fc259e2ceb2,Zoey 101 is a teen drama television series .,"Zoey 101 is an American teen drama television series which originally aired on Nickelodeon from January 9 , 2005 until May 2 , 2008 .","Zoey 101 is an American comedy-drama television series which originally aired on Nickelodeon from January 9 , 2005 until May 2 , 2008 ."
121,yes,g24cfb_121,5ec284ffc9e77c0008417da5,test,14183,The Nun -LRB-2018 film-RRB-,8e40e814a5f3,The Nun received negative reviews from critics .,"It received negative reviews from critics , with praise for its performances and atmosphere , but criticism for its weak narrative and over-reliance on jump-scares .","It received mixed reviews from critics , with praise for its performances and atmosphere , but criticism for its weak narrative and over-reliance on jump-scares ."
122,yes,g24cfb_122,5ec7d50dc9e77c0008441b3b,test,11029,Insidious-COLON- Chapter 3,e353675abaed,Critics gave Insidious : Chapter 3 ( film ) mixed to positive reviews .,Insidious : Chapter 3 has received mixed to positive reviews from critics .,Insidious : Chapter 3 has received mixed reviews from critics .
123,yes,g24cfb_123,5ec7d50cc9e77c000844122c,train,75638,Dio Maddin,1b32a7031b92,Brennan Williams is a free agent .,"Brennan Williams ( born February 5 , 1991 ) is an American football offensive tackle who is currently a free agent .","Brennan Williams ( born February 5 , 1991 ) is an American football offensive tackle who is currently a member of the Jacksonville Jaguars ."
124,yes,g24cfb_124,5ec5598dc9e77c000842c345,train,60730,64-bit computing,c3a9e95b7cb7,"A 64-bit processor can access 264 bytes , which is greater than 17 exabytes .","Hence , a processor with 64-bit memory addresses can directly access 264 bytes ( =18.45 exabytes ) of byte-addressable memory .","Hence , a processor with 64-bit memory addresses can directly access 264 bytes ( =16 exabytes ) of byte-addressable memory ."
125,yes,g24cfb_125,5ee393b6c9e77c0008ccb9ba,dev,37898,2020 coronavirus pandemic in Delaware,de6cb265b728,"By April 19 , there were 2,583 positive cases , 67 deaths , and 466 people fully recovered .","As of April 19 , 2020 , the Delaware Department of Health and Social Services has confirmed 2,538 positive cases and 67 deaths in the state , with 466 people being fully recovered.","As of April 18 , 2020 , the Delaware Department of Health and Social Services has confirmed 2,538 positive cases and 67 deaths in the state , with 466 people being fully recovered."
126,yes,g24cfb_126,5ec5598bc9e77c000842bfc8,train,79389,Ford Taurus,e037648edcee,The Ford Taurus was presented after 1985 .,"Since its launch in 1986 , Ford had built 7,519,919 Tauruses through the 2007 model year , making it the fifth-best-selling North American nameplate in Ford 's history ; only the F-150 , Escort , Model T , and Mustang have sold more units .","Since its launch in 1985 , Ford had built 7,519,919 Tauruses through the 2007 model year , making it the fifth-best-selling North American nameplate in Ford 's history ; only the F-150 , Escort , Model T , and Mustang have sold more units ."
127,yes,g24cfb_127,5eb29885c9e77c0008d92837,test,1345,Ben McLemore,3253b1f4626b,"Ben McLemore was born in St. Louis , Missouri .","McLemore was born in St. Louis , Missouri to parents Ben McLemore II and Sonya Reid .","McLemore was born in Wellston , Missouri to parents Ben McLemore II and Sonya Reid ."
128,yes,g24cfb_128,5ec7d50dc9e77c0008441ca6,train,71189,Central Intelligence,34e900cbe5b9,Central Intelligence scored A+ by audiences polled by CinemaScore .,Audiences polled by CinemaScore gave the film an average grade of `` A+ '' on an A+ to F scale .,Audiences polled by CinemaScore gave the film an average grade of `` A– '' on an A+ to F scale .
129,yes,g24cfb_129,5ed7ad02c9e77c00084a6c83,dev,14179,See You Again,7b9e9155f14d,"Before November 25 , 2017 , See You Again was the second most viewed video .","As of November 24 , 2017 , the video has received over 3.2 billion views on YouTube making it the second most viewed video on the website .","As of November 25 , 2017 , the video has received over 3.2 billion views on YouTube making it the second most viewed video on the website ."
130,yes,g24cfb_130,5ec55991c9e77c000842ddc2,train,88263,Kelis,2b7afe701f80,Cee-Lo Green is from the Gnarls Barkley fame .,"The album includes production credits by Scott Storch , Cee-Lo Green ( from the Gnarls Barkley fame ) , Max Martin , Dr. Luke , Raphael Saadiq , will.i.am , Knobody , Polow da Don , Damon Elliott , Cool and Dre , Sean Garrett , and Bangladesh .","The album includes production credits by Scott Storch , Cee-Lo Green ( from the Goodie Mob fame ) , Max Martin , Dr. Luke , Raphael Saadiq , will.i.am , Knobody , Polow da Don , Damon Elliott , Cool and Dre , Sean Garrett , and Bangladesh ."
131,yes,g24cfb_131,5ec5598ec9e77c000842c7cf,train,95718,Nuclear holocaust,e87cc58f2b9a,"Regarding the nuclear holocaust , a report was made before the possible risk of nuclear winter was promoted in the early 1980s .","Although this report was made when nuclear stockpiles were at much higher levels than they are today , it also was made before the possible risk of nuclear winter was promoted in the early 1980s .","Although this report was made when nuclear stockpiles were at much higher levels than they are today , it also was made before the risk of nuclear winter was discovered in the early 1980s ."
132,yes,g24cfb_132,5eb29889c9e77c0008d93d10,dev,3880,Madeline Brewer,ef093b61aef5,"Madeline Brewer was born on May 1 , 1992 .","Madeline Brewer ( born May 1 , 1992 ) is an American actress , best known for her roles in the Netflix original series Orange Is the New Black and Hemlock Grove , the Hulu series The Handmaid 's Tale , and the Netflix horror film Cam.","Madeline Kathryn Brewer ( born c. 1991/1992 ) is an American actress who has appeared in the Netflix original series Orange Is the New Black and Hemlock Grove , the Hulu series The Handmaid 's Tale , and the Netflix horror film Cam."
133,yes,g24cfb_133,5ece9464c9e77c0008467d0b,train,81154,Golden Tate,8f9a8f32e5e8,The Eagles incorporated Golden Tate on the 3rd round pick in the 2018/19 season .,He was later traded to the Eagles for a 3rd Round pick in the 2018/19 season,He was later traded to the Eagles for a 3rd round pick in 2018
134,yes,g24cfb_134,5ee393b6c9e77c0008ccc20d,test,25050,2020 coronavirus pandemic in Germany,d8ad8aff0d5a,Germany has the fifth-highest number of coronavirus positive cases in the world .,"Although Germany is the country with the fifth-highest number of positive cases in the world , it has seen no fatalities as of 7 March .","Although Germany is the country with the sixth-highest number of positive cases in the world , it has seen no fatalities as of 7 March ."
135,yes,g24cfb_135,5ebe6f30c9e77c00084086de,train,47914,Eight Below,d37080c88182,"In Eigh Below , more than fifteen dogs were abandoned .","In the 1958 event , sixteen Sakhalin Husky sled dogs were abandoned when the expedition team was unable to return to the base .","In the 1958 event , fifteen Sakhalin Husky sled dogs were abandoned when the expedition team was unable to return to the base ."
136,yes,g24cfb_136,5eb95738c9e77c0008fa14d2,train,28655,Wild Child -LRB-film-RRB-,84064fb8ad5b,"In Wild Child ( film ) , Poppy 's father is perturbed by Poppy 's change of look .","Poppy 's father comes to the game of the lacrosse finals , and is shocked by Poppy 's dramatic change in appearance and how much she looks like her mother , also captain of the lacrosse team at Abbey Mount .","Poppy 's father comes to the game of the lacrosse finals , and is amazed by Poppy 's dramatic change in appearance and how much she looks like her mother , also captain of the lacrosse team at Abbey Mount ."
137,yes,g24cfb_137,5eb9573ac9e77c0008fa179e,train,30059,South Mumbai,3b3fd2b7b85b,"CCI , The Willingdon Sports Club and Bombay Gymkhana are the most exclusive clubs in South Mumbai .","the most exclusive clubs : CCI , The Willingdon Sports Club as well as Bombay Gymkhana and the most expensive hospitals : Breach Candy Hospital , Bombay Hospital , Jaslok and Hurkisondas Hospital ; in the nation.","the most exclusive sports clubs : CCI , The Willingdon Sports Club as well as Bombay Gymkhana and the most expensive hospitals : Breach Candy Hospital , Bombay Hospital , Jaslok Hospital and Hurkisondas Hospital ; in the nation."
138,yes,g24cfb_138,5eb29888c9e77c0008d93b12,dev,3722,The Equalizer 2,eff6ec01080e,The Equalizer 2 is an action thriller film .,The Equalizer 2 ( sometimes promoted as The Equalizer II or EQ2 ) is a 2018 American vigilante action thriller film directed by Antoine Fuqua .,The Equalizer 2 ( sometimes promoted as The Equalizer II or EQ2 ) is a 2018 American vigilante thriller film directed by Antoine Fuqua .
139,yes,g24cfb_139,5ed4de06c9e77c0008489d72,train,193337,"You, Me and Dupree",51623a5785e4,"In You , Me and Dupree , Mr. Thompson finally accepts Carl as family .","All turns out well , with Dupree becoming a motivational speaker , Carl and Molly spending more time with each other , and Mr. Thompson accepting Carl as family .","All turns out well , with Dupree becoming a motivational speaker , Carl and Molly spending more time with each other , and Bob accepting Carl as family ."
140,yes,g24cfb_140,5eb29883c9e77c0008d92399,train,9167,Neighbors 2-COLON- Sorority Rising,e832d9215243,Neighbors 2 : Sorority Rising received rave reviews .,"The film premiered on April 26 , 2016 , in Berlin and was released on May 20 , 2016 , in the United States , receiving generally positive reviews and grossing $ 108 million worldwide.","The film premiered on April 26 , 2016 , in Berlin and was released on May 20 , 2016 , in the United States , receiving generally mixed reviews and grossing $ 108 million worldwide."
141,yes,g24cfb_141,5ee39416c9e77c0008ccdd2e,train,230681,Ballet Shoes -LRB-novel-RRB-,31301aa4a53a,"In the novel Ballet Shoes , Petrova ’ s parents die in England .","A talented actress and a great beauty , with an independent , bumptious streak . *Petrova The middle sister , adopted from a young Russian couple who died after emigrating to England after the Russian Revolution .","A talented actress and a great beauty , with an independent , bumptious streak . *Petrova The middle sister , adopted from a young Russian couple who died in Russia , leaving her outside an orphanage ."
